A4S微孔板热封机,A4S Microplate Heat Sealer,a4_s_backend,a4_s_backend,13,24,auto-close|auto-get_remaining_time|auto-get_status|auto-get_temperature|auto-open|auto-seal|auto-send_command|auto-set_heater|auto-set_temperature|auto-set_time|auto-setup|auto-stop|auto-system_reset,A4S是一种用于实验室微孔板热封的自动封膜设备，可对PCR板、深孔板或储样板施加受控温度和时间，将封膜材料压合到板口以实现密封。它适用于样品储存、避免蒸发与污染，以及自动化样品处理流程中的板封口步骤。,"The A4S is an automated microplate heat sealer used in laboratories to apply sealing films to microplates under controlled temperature and time conditions. It is used with PCR plates, deep-well plates, or storage plates to create a secure seal for sample storage, evaporation and contamination control, and automated sample-processing workflows.",封膜仪,备料&前处理设备|生命体系|实验室自动化与仪器集成|移液站产品|封膜仪
AA Opto MDS 声光可调滤波器,AA Opto MDS Acousto-Optic Tunable Filter,aa_opto_mds,aa_opto_mds,10,17,auto-Close|auto-Disable|auto-Enable|auto-GetFreq|auto-GetPower|auto-GetStatus|auto-SetFreq|auto-SetPower|auto-SetPowerAndEnable|auto-query,这是一台 AA Opto 的 MDS 系列声光可调滤波器/控制单元，用于按通道控制激光光路的透过、射频驱动功率和工作频率，从而实现特定波长或光束的快速选通与强度调节。该设备常用于荧光显微、激光扫描和多激光实验中的快速波长选择与光强调制。,"This is an AA Opto MDS-series acousto-optic tunable filter and controller used to control laser transmission, RF drive power, and operating frequency on individual channels, enabling fast wavelength selection and intensity modulation. It is commonly used in fluorescence microscopy, laser scanning, and multi-laser laboratory setups for rapid optical switching and beam control.",声光可调滤波器,表征设备|生命体系|智慧表征与检测中心|显微成像与光学显微实验|声光可调滤波器
Agilent VSpin 微孔板离心机,Agilent VSpin Microplate Centrifuge,access2_backend,access2_backend,33,52,auto-bucket_1_remainder|auto-close|auto-close_door|auto-configure_and_initialize|auto-g_to_rpm|auto-get_bucket_1_position|auto-get_bucket_locked|auto-get_door_locked|auto-get_door_open|auto-get_home_position|auto-get_position|auto-get_status|auto-get_tachometer|auto-go_to_bucket1|auto-go_to_bucket2|auto-go_to_position|auto-initialize|auto-load|auto-lock_bucket|auto-lock_door|auto-open|auto-open_door|auto-park|auto-send_command|auto-serialize|auto-set_bucket_1_position_to_current|auto-set_configuration_data|auto-setup|auto-spin|auto-stop|auto-unload|auto-unlock_bucket|auto-unlock_door,一款用于实验室自动化系统的微孔板离心机，可对样品板进行装载、卸载、开关门、锁定转篮并执行离心运行。常用于微孔板样品的短时离心、收集液滴和自动化流程中的板级前处理。,"An automated microplate centrifuge for laboratory workflows. It can load and unload plates, open and close the door, lock the bucket, and perform spin operations. It is commonly used for short spins, collecting droplets, and plate-level sample preparation in automated lab systems.",离心机,备料&前处理设备|生命体系|实验室自动化与仪器集成|移液站产品|离心机
Opentrons ATC 自动热循环仪,Opentrons Automated Thermocycler,atc_backend,atc_backend,2,9,auto-close_lid|auto-open_lid,用于PCR等核酸扩增流程的自动热循环仪模块，提供程序化温度循环（变性、退火、延伸）并配备可开合加热上盖，支持在自动化实验流程中进行板式样本温控。,"An automated thermocycler module for PCR and related nucleic acid amplification workflows, providing programmed temperature cycling (denaturation, annealing, extension) with an opening heated lid for plate-based sample temperature control in automated lab protocols.",普通PCR仪,实验执行&合成设备|生命体系|基因编辑、分子生物学与育种|普通PCR仪
通用蓝牙流式采集设备,Generic BLE Streaming Acquisition Device,base_streamer,base_streamer,7,37,auto-address|auto-backend|auto-make_chunk|auto-send_command|auto-start|auto-stop|auto-subscriptions,一种通用的蓝牙传感器或采集设备，可连续向实验计算机发送测量数据，并作为 LSL 数据流用于同步记录、在线监测和联合实验。适用于生理信号、运动信号或其他实时传感数据的采集。,"A generic Bluetooth sensor or acquisition device that continuously sends measurement data to a lab computer and publishes it as an LSL stream for synchronized recording, online monitoring, and multimodal experiments. It is suitable for acquiring biosignals, motion signals, or other real-time sensor data.",蓝牙流式采集设备,表征设备|生命体系|实验室自动化与仪器集成|实验仪器数据采集与联机控制|蓝牙流式采集设备
BITalino 生理信号采集板,BITalino biosignal acquisition board,bi_talino,bi_talino,5,21,auto-connect|auto-disconnect|auto-set_callback|auto-start|auto-stop,BITalino 是一款便携式蓝牙生理信号采集设备，提供多路模拟输入通道，可用于采集和传输实验中的生理或其他低频模拟传感器信号。它常用于教学、原型开发和可穿戴生理测量实验。,"BITalino is a portable Bluetooth biosignal acquisition device with multiple analog input channels for collecting and streaming physiological or other low-frequency analog sensor signals in laboratory experiments. It is commonly used for teaching, prototyping, and wearable physiology measurements.",模拟输入数据采集模块,表征设备|生命体系|实验仪器数据采集与联机控制|模拟输入数据采集模块
BioShake微孔板加热振荡器,BioShake microplate heater shaker,bio_shake,bio_shake,13,21,auto-deactivate|auto-get_current_temperature|auto-home|auto-lock_plate|auto-reset|auto-set_temperature|auto-setup|auto-shake|auto-stop|auto-stop_shaking|auto-supports_active_cooling|auto-supports_locking|auto-unlock_plate,这是一种实验室微孔板加热振荡器，可对板式样品进行控温并同时振荡混匀。它常用于样品孵育、反应混合、酶反应、核酸与蛋白相关实验等需要稳定温度和持续摇匀的流程，部分机型还支持锁板与主动冷却功能。,"This is a laboratory microplate heater shaker that provides temperature control and shaking for plate-based samples. It is commonly used for sample incubation, reaction mixing, enzymatic workflows, and nucleic acid or protein-related assays that require stable heating and continuous agitation. Some models also support plate locking and active cooling.",热混匀仪|微孔板恒温振荡器,备料&前处理设备|实验执行&合成设备|生命体系|溶液配制与反应|热混匀仪|微孔板样品孵育与混匀|微孔板恒温振荡器
Agilent BioTek 多功能微孔板读板仪,Agilent BioTek multimode microplate reader,bio_tek_plate_reader_backend,bio_tek_plate_reader_backend,25,41,auto-abs_wavelength_range|auto-close|auto-emission_range|auto-excitation_range|auto-focal_height_range|auto-get_current_temperature|auto-get_firmware_version|auto-get_serial_number|auto-home|auto-open|auto-read_absorbance|auto-read_fluorescence|auto-read_luminescence|auto-send_command|auto-set_plate|auto-set_temperature|auto-setup|auto-shake|auto-stop|auto-stop_heating_or_cooling|auto-stop_shaking|auto-supports_cooling|auto-supports_heating|auto-temperature_range|auto-version,这是一种台式微孔板读板仪，用于对微孔板中的样品进行吸光度、荧光和发光检测。设备通常带有载板抽屉、温度控制和振荡功能，适用于生化分析、细胞实验和高通量筛选等实验室检测工作。,"A benchtop multimode microplate reader used to measure absorbance, fluorescence, and luminescence from samples in microplates. It typically includes a plate tray, temperature control, and shaking, and is used for biochemical assays, cell-based experiments, and high-throughput screening.",酶标仪,表征设备|生命体系|智慧表征与检测中心|细胞生物学研究|酶标仪|微孔板检测与高通量筛选
BioShake微孔板恒温振荡器,BioShake microplate thermoshaker,bioshake_driver,bioshake_driver,7,17,auto-get_info|auto-home_shaker|auto-lock|auto-set_shake|auto-temp_off|auto-temp_on|auto-unlock,这是一种用于微孔板样品处理的实验室恒温振荡设备，可对板内液体进行振荡混匀并提供温度控制，常用于孵育、酶反应和样品制备等流程。,"This is a laboratory thermoshaker for processing microplate samples. It provides shaking for liquid mixing and temperature control, and is commonly used for incubation, enzymatic reactions, and sample preparation workflows.",热混匀仪|微孔板恒温振荡器,备料&前处理设备|实验执行&合成设备|生命体系|溶液配制与反应|热混匀仪|微孔板样品孵育与混匀|微孔板恒温振荡器
Byonoy Absorbance 96 酶标仪,Byonoy Absorbance 96 Plate Reader,byonoy_absorbance96_automate_backend,byonoy_absorbance96_automate_backend,7,29,auto-get_available_absorbance_wavelengths|auto-initialize_measurements|auto-read_absorbance|auto-read_fluorescence|auto-read_luminescence|auto-send_command|auto-setup,这是一款面向96孔微孔板的吸光度酶标仪，用于在选定波长下测量各孔样品的吸光度信号。它适用于ELISA、比色分析以及其他基于微孔板的常规实验检测。,"This is a 96-well microplate absorbance reader used to measure sample absorbance in plate wells at selected wavelengths. It is suitable for ELISA, colorimetric assays, and other routine microplate-based laboratory measurements.",酶标仪,表征设备|生命体系|智慧表征与检测中心|微孔板检测与高通量筛选|酶标仪
CLARIOstar多功能酶标仪,CLARIOstar multimode microplate reader,clari_ostar_backend,clari_ostar_backend,13,29,auto-close|auto-get_stat|auto-initialize|auto-open|auto-read_absorbance|auto-read_command_status|auto-read_fluorescence|auto-read_luminescence|auto-read_resp|auto-request_eeprom_data|auto-send|auto-setup|auto-stop,CLARIOstar 是一款多功能微孔板读板仪，可对微孔板样品进行吸光度、荧光和发光检测，常用于生化分析、细胞实验、药物筛选和其他高通量实验。,"The CLARIOstar is a multimode microplate reader used to measure absorbance, fluorescence, and luminescence in microplate samples. It is commonly used for biochemical assays, cell-based experiments, drug screening, and other high-throughput laboratory workflows.",酶标仪,表征设备|生命体系|微孔板检测与高通量筛选|细胞生物学研究|酶标仪
BioTek Cytation微孔板成像读板仪,BioTek Cytation Plate Reader Imager,cytation_backend,cytation_backend,17,39,auto-capture|auto-filters|auto-led_off|auto-led_on|auto-objectives|auto-select|auto-set_auto_exposure|auto-set_exposure|auto-set_focus|auto-set_gain|auto-set_imaging_mode|auto-set_objective|auto-set_position|auto-start_acquisition|auto-stop_acquisition|auto-supports_cooling|auto-supports_heating,Cytation是一类带显微成像功能的微孔板读板仪，可对多孔板样品进行自动对焦、位移扫描、明场或滤光片成像，并支持相机曝光、增益、物镜和照明设置。它常用于细胞培养板成像、荧光/明场观察以及自动化板式实验的数据采集。,"The Cytation is a microplate reader with integrated microscopy-style imaging. It can autofocus, move across wells, perform brightfield or filtered imaging, and control camera exposure, gain, objectives, and illumination. It is commonly used for imaging cell culture plates, fluorescence or brightfield observation, and automated data collection in plate-based assays.",酶标仪|荧光显微镜|微孔板成像读板仪,表征设备|生命体系|细胞生物学研究|微孔板检测与高通量筛选|显微成像与光学显微实验|酶标仪|荧光显微镜|微孔板成像读板仪
