category,device_count_without_tag_match
generic,51
custom,16
devices,13
laser,4
serial,3
camera,3
common,3
piezo,3
mechanical_arm,2
lasers,2
arm,2
universal,2
aotf,1
cycler,1
coherent_obis,1
arbin_cycler,1
spectracq3,1
network_storage,1
pid_controller,1
file,1
furnace,1
generic_devices,1
emstat_pico,1
incubator,1
keysight,1
serial_device,1
monochromator,1
pumps,1
display,1
timing,1
shutter,1
oxygen,1
pyroscience,1
rail,1
generic_device,1
rule_server,1
scpi_generic,1
device,1
spectrometer,1
rule,1
network,1
webdav,1
temperature_controller,1
toptica,1
temperature,1
