unit_id,manufacturer,tag,官网仪器详情页,仪器名称,仪器参数,仪器照片url,仪器详情,抓取状态
acq1102,D-TACQ Solutions,电子天平,https://dtacq.com/acq1102.shtml,ACQ1102 2 site compact FMC/ELF carrier,"A,B : PCIe on Aurora to 400MB/s per port.",images/dtacq.png,ACQ1102 2 站点紧凑型 FMC/ELF 载体，1U 中具有多达 64 个同步通道。支持大白兔精准授时。,ok
acq2106,D-TACQ Solutions,电子天平,https://www.d-tacq.com/acq2106.shtml,ACQ2106,机架: 19英寸1U标准机架; 模块插槽: 6个ELF位; 最大通道数: 192通道(1U); ADC分辨率: 最高24-bit; 采样率: 最高2MSa/s连续流; 网络: 千兆以太网+可选SFP+光纤; 同步: White Rabbit亚纳秒精密时间协议; 系统: 嵌入式Linux(ARM+FPGA); 可选8GB DRAM扩展; 兼容模块: ACQ423(32ch/16bit)/ACQ424(32ch/24bit)/ACQ425(16ch/24bit)/AO424(32ch DAC)/DIO432(32ch DIO),images/dtacq.png,D-TACQ ACQ2106是高性能模块化数据采集平台，1U机架内最多192通道同步采样，支持White Rabbit亚纳秒级精密时间同步，广泛用于等离子体物理、核聚变和大科学装置的多通道同步数据采集。 本地驱动: community_drivers/acq2106/driver.py (2209行),ok
acq2106__mgtdram8,D-TACQ Solutions,电子天平,https://www.d-tacq.com/acq2106.shtml,ACQ2106 (mgtdram8),模块站位:6个ELF/FMC; 最大通道:192路同步; 机箱:1U 19英寸机架; FPGA:Xilinx Z7030; 通信:千兆以太网+最多4个SFP+(5Gbps)光纤; DRAM扩展:8GB; 支持White Rabbit精密同步; 功耗:15-25W+每站10W; 软件:嵌入式Linux+EPICS IOC,,D-TACQ ACQ2106载板配8GB MGTDRAM高速缓存扩展模块，支持高速突发采集模式下的大容量数据暂存，适用于等离子体物理和核聚变实验。 本地驱动: community_drivers/acq2106__mgtdram8/driver.py (2200行),ok
acq2106_tiga,D-TACQ Solutions,电子天平,https://www.d-tacq.com/acq2106.shtml,ACQ2106 (tiga),"模块槽: 6个ELF插件模块槽; 最大通道: 192通道(依模块); 模块类型: ACQ423/424/425/480(模拟输入), AO424(模拟输出), DIO432(数字IO); 分辨率: 16-24位; 采样率: 最高128kSPS(ACQ480达80MSPS); 处理器: Xilinx Zynq FPGA+ARM Cortex-A9; 接口: 1GbE(可选10GbE/SFP+光纤); 同步: White Rabbit PTP; 安装: 桌面或1U/2U机架; 系统: Linux(EPICS/MATLAB/Python)",,D-TACQ ACQ2106载板配TIGA(时间间隔生成器和采集器)固件，支持精密时间间隔触发和事件驱动采集模式。 本地驱动: community_drivers/acq2106_tiga/driver.py (2200行),ok
acq400e,D-TACQ Solutions,电子天平,https://www.d-tacq.com/acq424elf.shtml,ACQ424ELF,类型: ELF格式前端模块; 系列: ACQ423(32通道16位)/ACQ424(32通道16位差分)/ACQ425(16通道16位)/ACQ480(8通道14位80MSPS); 安装于ACQ2106载板,,D-TACQ ACQ400系列ELF格式数据采集前端模块，插入ACQ2106/ACQ1001载板使用。 本地驱动: community_drivers/acq400e/driver.py (296行),ok
afg3021b,Tektronix,振荡器（非恒温）,https://www.tek.com.cn/product-model/afg3021b,Tektronix(泰克)AFG3021B 任意波函数发生器,Channels: 1; Effective maximum frequency out: 10 MHz; Resolution: 10 ps or 5 digits; Resolution: 10 ps or 4 digits; Range: (Continuous Mode): 0 ps to Period (Triggered/Gated Burst Mode): 0 ps to Period – [Pulse Width + 0.8 * (Leading Edge Time + Trailing Edge Time)]; Resolution: 10 ps or 8 digits; Noise Bandwidth (-3 dB): 10 MHz; Effective analog bandwidth (-3 dB): 8 MHz; Memory: Sample rate: 2 to 128 K: 250 MS/s; Vertical resolution: 14 bits,,正弦波、方波、脉冲、锯齿波、三角波、Sin(x)/x、指数上升和衰减、高斯、洛伦兹、半正弦、直流、噪声,ok
agilent33210_a,Keysight Technologies (Agilent),振荡器（非恒温）,https://www.keysight.com/us/en/product/33210A/33210a-waveform-and-function-generator.html,33210A Waveform/Function Generator [Discontinued],"Channels: 1; Sine/Square Freq: 1 µHz~10 MHz; Ramp/Triangle: 1 µHz~200 kHz; Pulse: 500 µHz~5 MHz; Arb: 1 µHz~5 MHz; Sample Rate: 50 MSa/s; Resolution: 14-bit; Arb Memory: 8K points; Amplitude: 10 mVpp~10 Vpp (50Ω); Accuracy: ±1% @1kHz; THD: <-0.04% (<20kHz); Modulation: AM/FM/PM/FSK/PWM; Interface: USB, GPIB(opt), LAN/LXI(opt)",,10MHz单通道函数/任意波形发生器，支持正弦/方波/锯齿/脉冲/噪声/任意波形，内置调制和扫频功能。已停产，被33500B系列(Trueform)替代。 本地驱动: community_drivers/agilent33210_a/driver.py (127行),ok
agilent33220a,Keysight Technologies,振荡器（非恒温）,https://www.keysight.com/us/en/product/33220A/function--arbitrary-waveform-generator-20-mhz.html,"33220A Function / Arbitrary Waveform Generator, 20 MHz [Obsolete]","频率: 正弦波/方波最高20MHz; 波形: 正弦/方波/三角/锯齿/脉冲/噪声/DC/任意波; 采样率: 50MSa/s; 分辨率: 14位; 内存: 64K点任意波; 幅度: 10mVpp-10Vpp(50Ω); 接口: USB/GPIB/LAN; 调制: AM/FM/PM/FSK/PWM/脉冲串/扫频; 状态: 已停产(2016), 替代型号33500B系列",,Keysight(原Agilent)33220A是20MHz函数/任意波形发生器，2016年停产，替代型号为33500B系列Trueform波形发生器。支持BenchVue软件控制。 本地驱动: community_drivers/agilent33220a/driver.py (262行),ok
agilent34410a,Keysight Technologies (Agilent),电子天平,https://www.keysight.com/us/en/product/34410A/34410a-digital-multimeter-6-digit.html,"34410A Digital Multimeter, 6½ Digit [Obsolete]","Resolution: 6.5 digits; DCV Range: 100mV~1000V; DCV Accuracy: ±0.0015%+0.0004%; DCV Resolution: 100nV (100mV range); ACV: 100mV~750V, 3Hz~300kHz True RMS; Resistance: 100Ω~1GΩ (2/4-wire); Current: 100µA~3A DC/AC; Reading Speed: 10000/s (50000/s digitize); Memory: 50000 readings; Interface: USB, LAN/LXI, GPIB",,6.5位高性能台式数字万用表，34401A升级版，高达10000读数/秒，100nV DC分辨率，标配USB/LAN/GPIB。已停产，被Truevolt系列34460A/34461A/34465A/34470A替代。 本地驱动: community_drivers/agilent34410a/driver.py (299行),ok
agilent_dso7054_wrapper,Keysight Technologies (Agilent),振荡器（非恒温）,https://www.keysight.com/us/en/product/DSO7054A/dso7054a-oscilloscope-500-mhz-4-analog-channels.html,"DSO7054A Oscilloscope: 500 MHz, 4 analog channels [Obsolete]","BW: 500MHz; Channels: 4 analog; Sample Rate: 4GSa/s(half)/2GSa/s(all); Memory: 8Mpts; Update Rate: 100k wfms/s; Resolution: 8-bit; Rise Time: <700ps; Display: 12.1"" XGA; Protocol: I2C/SPI/CAN/LIN/RS-232",,InfiniiVision 7000A系列500MHz 4通道DSO，MegaZoom III深存储，100k wfms/s刷新率。已停产，替代DSOX4054A。,ok
