chinese_name,english_name,exists_in_tag_list,tag_id,tag_type,occurrence_count
实验执行&合成设备,Experiment Execution & Synthesis Equipment,yes,4313,experimental_step,413
表征设备,Characterization Equipment,yes,4316,experimental_step,208
物流/机械,Logistics / Machinery,yes,4317,experimental_step,41
后处理设备,Post-processing Equipment,yes,4314,experimental_step,21
移液工作站,Liquid Handling Workstation,yes,4436,device_template_tag,18
冷热水机,Chiller / Heater Unit,yes,4369,device_template_tag,15
X射线衍射仪,X-Ray Diffractometer,yes,4362,device_template_tag,13
,virtual_device,no,,,13
机械臂,Robotic Arm,yes,4402,device_template_tag,13
,generic,no,,,12
恒温摇床,Constant Temperature Shaker,yes,4389,device_template_tag,8
,robot_arm,no,,,7
透射电子显微镜,Transmission Electron Microscope,yes,4456,device_template_tag,7
,plc,no,,,6
普通PCR仪,Thermal Cycler,yes,4399,device_template_tag,6
酶标仪,Microplate Reader,yes,4457,device_template_tag,6
,liquid_handler,no,,,5
普通光学显微镜,Optical Microscope,yes,4400,device_template_tag,5
电子天平,Electronic Balance,yes,4426,device_template_tag,5
电池测试柜,Battery Test Cabinet,yes,4427,device_template_tag,5
,gripper,no,,,4
,pump_and_valve,no,,,4
,temperature,no,,,4
注射泵,Syringe Pump,yes,4413,device_template_tag,4
电化学工作站,Electrochemical Workstation,yes,4425,device_template_tag,4
,can_bus,no,,,3
,lidar,no,,,3
,liquid_handling,no,,,3
,multimeter,no,,,3
,robot_linear_motion,no,,,3
,temperature_controller,no,,,3
微生物培养箱,Microbial Incubator,yes,4387,device_template_tag,3
深低温冰箱,Ultra-Low Temperature Freezer,yes,4419,device_template_tag,3
,actuator,no,,,2
,biosignal,no,,,2
,camera,no,,,2
,can,no,,,2
,characterization_chromatic,no,,,2
,characterization_optic,no,,,2
,common,no,,,2
,controller,no,,,2
,daq_move,no,,,2
,electrochemical,no,,,2
,gas_handler,no,,,2
,microfluidics,no,,,2
,microscope_stage,no,,,2
,organic_miscellaneous,no,,,2
,oscilloscope,no,,,2
,power_meter,no,,,2
,reaction_station_bioyond,no,,,2
,robot_gripper,no,,,2
,sensor,no,,,2
