id,name,name_en,type
"4312","备料&前处理设备","Material Preparation & Pre-processing Equipment","experimental_step"
"4313","实验执行&合成设备","Experiment Execution & Synthesis Equipment","experimental_step"
"4314","后处理设备","Post-processing Equipment","experimental_step"
"4315","器件/细胞设备","Device / Cell Equipment","experimental_step"
"4316","表征设备","Characterization Equipment","experimental_step"
"4317","物流/机械","Logistics / Machinery","experimental_step"
"4318","生命体系","Life Sciences","experimental_domain"
"4319","溶液配制与反应","Solution Preparation & Reaction","experimental_domain"
"4320","溶液→固体反应","Solution-to-Solid Reaction","experimental_domain"
"4321","熔体/高粘体系","Melt / High-Viscosity System","experimental_domain"
"4322","表面/薄膜体系","Surface / Thin Film System","experimental_domain"
"4323","粉体&固相反应","Powder & Solid-Phase Reaction","experimental_domain"
"4324","金属熔炼/增材制造","Metal Smelting / Additive Manufacturing","experimental_domain"
"4325","智慧表征与检测中心","Intelligent Characterization & Testing Center","experimental_domain"
"4326","化工放大与连续工艺优化","Chemical Scale-up & Continuous Process Optimization","experimental_domain"
"4327","基因编辑、分子生物学与育种","Gene Editing, Molecular Biology & Breeding","experimental_scene"
"4328","DNA文库构建测序与蛋白设计","DNA Library Construction, Sequencing & Protein Design","experimental_scene"
"4329","代谢组学研究","Metabolomics Research","experimental_scene"
"4330","细胞生物学研究","Cell Biology Research","experimental_scene"
"4331","动物实验","Animal Experiments","experimental_scene"
"4332","广州 π-hub","Guangzhou π-hub","experimental_scene"
"4333","深研院 AI4LifeScience","SIAIS AI4LifeScience","experimental_scene"
"4334","移液站产品","Liquid Handling Station Products","experimental_scene"
"4335","ADC药物","ADC Drugs","experimental_scene"
"4336","多肽药物","Peptide Drugs","experimental_scene"
"4337","电解液配方与工艺","Electrolyte Formulation & Process","experimental_scene"
"4338","有机 SuperChemputer","Organic SuperChemputer","experimental_scene"
"4339","流动化学","Flow Chemistry","experimental_scene"
"4340","小分子药物和PROTAC药物","Small Molecule & PROTAC Drugs","experimental_scene"
"4341","溶液反应教学","Solution Reaction Teaching","experimental_scene"
"4342","智能香氛仪","Intelligent Fragrance Diffuser","experimental_scene"
"4343","水热无机合成-纳米粒子MOF/COF","Hydrothermal Inorganic Synthesis - Nanoparticle MOF/COF","experimental_scene"
"4344","涂层材料","Coating Materials","experimental_scene"
"4345","高分子/树脂粉末","Polymer / Resin Powder","experimental_scene"
"4346","水热无机合成-多孔催化剂","Hydrothermal Inorganic Synthesis - Porous Catalyst","experimental_scene"
"4347","钙钛矿薄膜电池","Perovskite Thin Film Battery","experimental_scene"
"4348","有机光伏材料（OPV和OLED）","Organic Photovoltaic Materials (OPV & OLED)","experimental_scene"
"4349","二维材料","2D Materials","experimental_scene"
