registry_key,output_file_path,source_family,source_info_path,source_registry_path,name_blank,name_en_blank,description_blank,description_en_blank,action_count_written
bioyond_cell,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_bioyond_cell.yaml,existing_devices_info,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/existing_devices_info/info_extracted/bioyond_cell.bioyond_cell_info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/unilabos/registry/devices/bioyond_cell.yaml,false,false,false,true,29
bioyond_dispensing_station,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_bioyond_dispensing_station.yaml,existing_devices_info,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/existing_devices_info/info_extracted/bioyond_dispensing_station.bioyond_dispensing_station_info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/unilabos/registry/devices/bioyond_dispensing_station.yaml,false,false,false,true,13
hplc.agilent,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_hplc.agilent.yaml,existing_devices_info,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/existing_devices_info/info_extracted/characterization_chromatic.hplc.agilent_info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/unilabos/registry/devices/characterization_chromatic.yaml,false,false,false,true,6
hplc.agilent-zhida,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_hplc.agilent-zhida.yaml,existing_devices_info,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/existing_devices_info/info_extracted/characterization_chromatic.hplc.agilent-zhida_info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/unilabos/registry/devices/characterization_chromatic.yaml,false,false,false,true,5
liquid_handler,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_liquid_handler.yaml,existing_devices_info,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/existing_devices_info/info_extracted/liquid_handler.liquid_handler_info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/unilabos/registry/devices/liquid_handler.yaml,false,false,false,true,29
liquid_handler.biomek,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_liquid_handler.biomek.yaml,existing_devices_info,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/existing_devices_info/info_extracted/liquid_handler.liquid_handler.biomek_info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/unilabos/registry/devices/liquid_handler.yaml,false,false,false,true,10
liquid_handler.laiyu,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_liquid_handler.laiyu.yaml,existing_devices_info,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/existing_devices_info/info_extracted/liquid_handler.liquid_handler.laiyu_info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/unilabos/registry/devices/liquid_handler.yaml,false,false,false,true,7
liquid_handler.prcxi,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_liquid_handler.prcxi.yaml,existing_devices_info,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/existing_devices_info/info_extracted/liquid_handler.liquid_handler.prcxi_info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/unilabos/registry/devices/liquid_handler.yaml,false,false,false,true,24
liquid_handler.revvity,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_liquid_handler.revvity.yaml,existing_devices_info,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/existing_devices_info/info_extracted/liquid_handler.liquid_handler.revvity_info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/unilabos/registry/devices/liquid_handler.yaml,false,false,false,true,1
a4_s_backend,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_a4_s_backend.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/a4_s_backend/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/a4_s_backend/registry.yaml,false,false,false,false,13
aa_opto_mds,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_aa_opto_mds.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/aa_opto_mds/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/aa_opto_mds/registry.yaml,false,false,false,false,10
_asi_controller,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info__asi_controller.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/_asi_controller/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/_asi_controller/registry.yaml,false,false,false,false,25
tiger_controller,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_tiger_controller.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/tiger_controller/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/tiger_controller/registry.yaml,false,false,false,false,52
bio_tek_plate_reader_backend,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_bio_tek_plate_reader_backend.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/bio_tek_plate_reader_backend/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/bio_tek_plate_reader_backend/registry.yaml,false,false,false,false,25
neo,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_neo.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/neo/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/neo/registry.yaml,false,false,false,false,10
skeleton_camera,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_skeleton_camera.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/skeleton_camera/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/skeleton_camera/registry.yaml,false,false,false,false,50
a_pump,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_a_pump.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/a_pump/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/a_pump/registry.yaml,false,false,false,false,16
incubator,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_incubator.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/incubator/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/incubator/registry.yaml,false,false,false,false,16
bi_talino,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_bi_talino.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/bi_talino/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/bi_talino/registry.yaml,false,false,false,false,5
bio_shake,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_bio_shake.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/bio_shake/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/bio_shake/registry.yaml,false,false,false,false,13
